ISO_YEAR,ISO_WEEK,date,period,SPEC_PROCESSED_NB,INF_ALL,INF_A,INF_B,AH1N12009,AH3,BVIC,positivity_rate
2017,1,2017-01-01,Pre-pandemic (2017-2019),12.0,,,,,,,0.0
2017,2,2017-01-08,Pre-pandemic (2017-2019),7.0,,,,,,,0.0
2017,3,2017-01-15,Pre-pandemic (2017-2019),17.0,1.0,,1.0,,,,0.058823529411764705
2017,4,2017-01-22,Pre-pandemic (2017-2019),42.0,5.0,2.0,3.0,2.0,,,0.11904761904761904
2017,5,2017-01-29,Pre-pandemic (2017-2019),77.0,1.0,1.0,,,,,0.012987012987012988
2017,6,2017-02-05,Pre-pandemic (2017-2019),72.0,3.0,2.0,1.0,,,,0.041666666666666664
2017,7,2017-02-12,Pre-pandemic (2017-2019),60.0,8.0,6.0,2.0,1.0,,,0.13333333333333333
2017,8,2017-02-19,Pre-pandemic (2017-2019),73.0,10.0,7.0,3.0,5.0,,,0.136986301369863
2017,9,2017-02-26,Pre-pandemic (2017-2019),61.0,8.0,6.0,2.0,4.0,,,0.13114754098360656
2017,10,2017-03-05,Pre-pandemic (2017-2019),79.0,11.0,4.0,7.0,2.0,,,0.13924050632911392
2017,11,2017-03-12,Pre-pandemic (2017-2019),65.0,9.0,9.0,,6.0,,,0.13846153846153847
2017,12,2017-03-19,Pre-pandemic (2017-2019),53.0,6.0,6.0,,2.0,,,0.11320754716981132
2017,13,2017-03-26,Pre-pandemic (2017-2019),40.0,5.0,3.0,2.0,,,,0.125
2017,14,2017-04-02,Pre-pandemic (2017-2019),40.0,3.0,1.0,2.0,,,,0.075
2017,15,2017-04-09,Pre-pandemic (2017-2019),43.0,3.0,2.0,1.0,,,,0.06976744186046512
2017,16,2017-04-16,Pre-pandemic (2017-2019),45.0,8.0,6.0,2.0,,,,0.17777777777777778
2017,17,2017-04-23,Pre-pandemic (2017-2019),52.0,6.0,3.0,3.0,1.0,,,0.11538461538461539
2017,18,2017-04-30,Pre-pandemic (2017-2019),46.0,9.0,5.0,4.0,3.0,,,0.1956521739130435
2017,19,2017-05-07,Pre-pandemic (2017-2019),34.0,12.0,7.0,5.0,4.0,,,0.35294117647058826
2017,20,2017-05-14,Pre-pandemic (2017-2019),38.0,10.0,7.0,3.0,6.0,,,0.2631578947368421
2017,21,2017-05-21,Pre-pandemic (2017-2019),32.0,3.0,2.0,1.0,2.0,,,0.09375
2017,22,2017-05-28,Pre-pandemic (2017-2019),29.0,3.0,3.0,,1.0,,,0.10344827586206896
2017,23,2017-06-04,Pre-pandemic (2017-2019),49.0,15.0,13.0,2.0,11.0,,,0.30612244897959184
2017,24,2017-06-11,Pre-pandemic (2017-2019),48.0,14.0,11.0,3.0,7.0,,,0.2916666666666667
2017,25,2017-06-18,Pre-pandemic (2017-2019),47.0,11.0,7.0,4.0,4.0,,,0.23404255319148937
2017,26,2017-06-25,Pre-pandemic (2017-2019),40.0,10.0,8.0,2.0,2.0,,,0.25
2017,27,2017-07-02,Pre-pandemic (2017-2019),28.0,9.0,6.0,3.0,1.0,,,0.32142857142857145
2017,28,2017-07-09,Pre-pandemic (2017-2019),27.0,3.0,2.0,1.0,1.0,,,0.1111111111111111
2017,29,2017-07-16,Pre-pandemic (2017-2019),22.0,2.0,1.0,1.0,,,,0.09090909090909091
2017,30,2017-07-23,Pre-pandemic (2017-2019),28.0,6.0,1.0,5.0,,,,0.21428571428571427
2017,31,2017-07-30,Pre-pandemic (2017-2019),36.0,2.0,1.0,1.0,,,,0.05555555555555555
2017,32,2017-08-06,Pre-pandemic (2017-2019),56.0,6.0,3.0,3.0,,,,0.10714285714285714
2017,33,2017-08-13,Pre-pandemic (2017-2019),43.0,11.0,10.0,1.0,2.0,,,0.2558139534883721
2017,34,2017-08-20,Pre-pandemic (2017-2019),58.0,7.0,6.0,1.0,1.0,,,0.1206896551724138
2017,35,2017-08-27,Pre-pandemic (2017-2019),43.0,6.0,6.0,,2.0,,,0.13953488372093023
2017,36,2017-09-03,Pre-pandemic (2017-2019),46.0,11.0,11.0,,6.0,,,0.2391304347826087
2017,37,2017-09-10,Pre-pandemic (2017-2019),30.0,5.0,5.0,,2.0,,,0.16666666666666666
2017,38,2017-09-17,Pre-pandemic (2017-2019),39.0,6.0,6.0,,4.0,,,0.15384615384615385
2017,39,2017-09-24,Pre-pandemic (2017-2019),50.0,15.0,12.0,3.0,12.0,,,0.3
2017,40,2017-10-01,Pre-pandemic (2017-2019),43.0,9.0,8.0,1.0,6.0,,,0.20930232558139536
2017,41,2017-10-08,Pre-pandemic (2017-2019),56.0,14.0,13.0,1.0,11.0,,,0.25
2017,42,2017-10-15,Pre-pandemic (2017-2019),76.0,23.0,23.0,,19.0,,,0.3026315789473684
2017,43,2017-10-22,Pre-pandemic (2017-2019),75.0,24.0,22.0,2.0,21.0,,,0.32
2017,44,2017-10-29,Pre-pandemic (2017-2019),109.0,39.0,36.0,3.0,32.0,,,0.3577981651376147
2017,45,2017-11-05,Pre-pandemic (2017-2019),104.0,35.0,33.0,2.0,31.0,,,0.33653846153846156
2017,46,2017-11-12,Pre-pandemic (2017-2019),99.0,41.0,37.0,4.0,31.0,,,0.41414141414141414
2017,47,2017-11-19,Pre-pandemic (2017-2019),118.0,46.0,37.0,9.0,30.0,,,0.3898305084745763
2017,48,2017-11-26,Pre-pandemic (2017-2019),134.0,42.0,37.0,5.0,31.0,,,0.31343283582089554
2017,49,2017-12-03,Pre-pandemic (2017-2019),139.0,42.0,38.0,4.0,30.0,,,0.302158273381295
2017,50,2017-12-10,Pre-pandemic (2017-2019),135.0,34.0,27.0,7.0,20.0,,,0.2518518518518518
2017,51,2017-12-17,Pre-pandemic (2017-2019),154.0,47.0,22.0,25.0,13.0,,,0.3051948051948052
2017,52,2017-12-24,Pre-pandemic (2017-2019),135.0,41.0,27.0,14.0,16.0,,,0.3037037037037037
2018,1,2017-12-31,Pre-pandemic (2017-2019),139.0,35.0,16.0,19.0,9.0,,,0.2517985611510791
2018,2,2018-01-07,Pre-pandemic (2017-2019),107.0,18.0,11.0,7.0,7.0,,,0.16822429906542055
2018,3,2018-01-14,Pre-pandemic (2017-2019),114.0,27.0,16.0,11.0,10.0,,,0.23684210526315788
2018,4,2018-01-21,Pre-pandemic (2017-2019),109.0,20.0,11.0,9.0,4.0,,,0.1834862385321101
2018,5,2018-01-28,Pre-pandemic (2017-2019),125.0,18.0,6.0,12.0,2.0,,,0.144
2018,6,2018-02-04,Pre-pandemic (2017-2019),191.0,35.0,15.0,20.0,7.0,,,0.18324607329842932
2018,7,2018-02-11,Pre-pandemic (2017-2019),201.0,41.0,10.0,31.0,5.0,,,0.20398009950248755
2018,8,2018-02-18,Pre-pandemic (2017-2019),137.0,23.0,7.0,16.0,1.0,,,0.1678832116788321
2018,9,2018-02-25,Pre-pandemic (2017-2019),229.0,33.0,14.0,19.0,,,,0.14410480349344978
2018,10,2018-03-04,Pre-pandemic (2017-2019),250.0,31.0,11.0,20.0,2.0,,,0.124
2018,11,2018-03-11,Pre-pandemic (2017-2019),230.0,25.0,9.0,16.0,7.0,,,0.10869565217391304
2018,12,2018-03-18,Pre-pandemic (2017-2019),222.0,19.0,10.0,9.0,2.0,,,0.08558558558558559
2018,13,2018-03-25,Pre-pandemic (2017-2019),204.0,17.0,8.0,9.0,6.0,,,0.08333333333333333
2018,14,2018-04-01,Pre-pandemic (2017-2019),160.0,21.0,4.0,17.0,1.0,,,0.13125
2018,15,2018-04-08,Pre-pandemic (2017-2019),182.0,20.0,7.0,13.0,,,,0.10989010989010989
2018,16,2018-04-15,Pre-pandemic (2017-2019),152.0,25.0,11.0,14.0,1.0,,,0.16447368421052633
2018,17,2018-04-22,Pre-pandemic (2017-2019),121.0,19.0,10.0,9.0,,,,0.15702479338842976
2018,18,2018-04-29,Pre-pandemic (2017-2019),144.0,19.0,11.0,8.0,4.0,,,0.13194444444444445
2018,19,2018-05-06,Pre-pandemic (2017-2019),139.0,9.0,7.0,2.0,2.0,,,0.06474820143884892
2018,20,2018-05-13,Pre-pandemic (2017-2019),130.0,12.0,9.0,3.0,4.0,,,0.09230769230769231
2018,21,2018-05-20,Pre-pandemic (2017-2019),116.0,6.0,5.0,1.0,1.0,,,0.05172413793103448
2018,22,2018-05-27,Pre-pandemic (2017-2019),137.0,5.0,4.0,1.0,2.0,,,0.0364963503649635
2018,23,2018-06-03,Pre-pandemic (2017-2019),128.0,12.0,11.0,1.0,1.0,,,0.09375
2018,24,2018-06-10,Pre-pandemic (2017-2019),141.0,9.0,8.0,1.0,2.0,,,0.06382978723404255
2018,25,2018-06-17,Pre-pandemic (2017-2019),134.0,7.0,6.0,1.0,1.0,,,0.05223880597014925
2018,26,2018-06-24,Pre-pandemic (2017-2019),98.0,8.0,4.0,4.0,1.0,,,0.08163265306122448
2018,27,2018-07-01,Pre-pandemic (2017-2019),83.0,5.0,5.0,,,,,0.060240963855421686
2018,28,2018-07-08,Pre-pandemic (2017-2019),103.0,6.0,6.0,,,,,0.05825242718446602
2018,29,2018-07-15,Pre-pandemic (2017-2019),80.0,3.0,3.0,,1.0,,,0.0375
2018,30,2018-07-22,Pre-pandemic (2017-2019),101.0,1.0,1.0,,,,,0.009900990099009901
2018,31,2018-07-29,Pre-pandemic (2017-2019),99.0,2.0,1.0,1.0,1.0,,,0.020202020202020204
2018,32,2018-08-05,Pre-pandemic (2017-2019),88.0,4.0,4.0,,2.0,,,0.045454545454545456
