WHO region	ITZ	COUNTRY/AREA/TERRITORY	COUNTRY_CODE	ORIGIN_SOURCE	ISO_YEAR	ISO_WEEK	ISO_SDATE	SPEC_RECEIVED_NB	SPEC_PROCESSED_NB	AH1	AH1N12009	AH3	AH5	ANOTSUBTYPED	INF_A	BVIC	BYAM	BNOTDETERMINED	INF_B	INF_ALL	INF_NEGATIVE	ILI_ACTIVITY
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2015	6	2015-02-01T21:00:00.000Z	1	1												1	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2016	36	2016-09-04T21:00:00.000Z	1	1												1	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2016	52	2016-12-25T21:00:00.000Z	3	1												1	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	1	2017-01-01T21:00:00.000Z	12	12												12	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	2	2017-01-08T21:00:00.000Z	7	7												7	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	3	2017-01-15T21:00:00.000Z	17	17									1	1	1	16	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	4	2017-01-22T21:00:00.000Z	42	42		2				2			3	3	5	37	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	5	2017-01-29T21:00:00.000Z	82	77					1	1					1	76	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	6	2017-02-05T21:00:00.000Z	72	72					2	2			1	1	3	69	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	7	2017-02-12T21:00:00.000Z	60	60		1			5	6			2	2	8	52	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	8	2017-02-19T21:00:00.000Z	76	73		5			2	7			3	3	10	63	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	9	2017-02-26T21:00:00.000Z	61	61		4			2	6			2	2	8	53	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	10	2017-03-05T21:00:00.000Z	79	79		2			2	4			7	7	11	68	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	11	2017-03-12T21:00:00.000Z	65	65		6			3	9					9	56	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	12	2017-03-19T21:00:00.000Z	53	53		2			4	6					6	47	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	13	2017-03-26T21:00:00.000Z	42	40					3	3			2	2	5	35	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	14	2017-04-02T21:00:00.000Z	41	40					1	1			2	2	3	37	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	15	2017-04-09T21:00:00.000Z	44	43					2	2			1	1	3	40	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	16	2017-04-16T21:00:00.000Z	45	45					6	6			2	2	8	37	1
EMR	Western Asia	Saudi Arabia	SAU	SENTINEL	2017	17	2017-04-23T21:00:00.000Z	54	52		1			2	3			3	3	6	46	1
